table,capability,cols,fk_out,fk_in,policies,triggers,create_migration,veredicto_uso,confianza,archivo_clave,referencias_prod,referencias_mock,notas,db_comment,decision,owner
academic_plans,ninguna identificada,8,2,1,3,0,006_academic_route_schema.sql,CABLEADA-SIN-DATOS,alta,src/modules/academic-routes/services/academicService.js,src/modules/academic-routes/services/academicService.js; src/portal-maestros/services/classEventService.js; src/portal-maestros/views/gamificacionView.js; src/portal-maestros/views/weeklyPlanView.js,,Feature de gobernanza curricular detenida a mitad de rollout; servicios cableados pero tabla con 0 filas.,,Terminar,ACM
accesorio_asignaciones,inventario/lutería,11,3,0,3,0,,HUÉRFANA,alta,sin migración versionada,,,"Sin ninguna referencia en código, vistas ni funciones de BD.",,Eliminar,inventario/lutería
accesorios,inventario/lutería,11,0,1,3,1,,SOLO-MOCK,alta,src/modules/luteria-taller/api/luteriaTallerMock.js,,src/modules/luteria-taller/api/luteriaTallerMock.js; src/modules/inventario/__tests__/inventarioApi.test.js,Solo mock en código; existe vista vw_stock_bajo en BD pero ninguna vista/código la consulta.,,Archivar,LUT
acm_active_routes,académico,16,4,1,1,0,20260629_acm_curriculum_governance.sql,CABLEADA-SIN-DATOS,alta,src/modules/academic-admin/api/academicAdminApi.js,src/modules/academic-admin/api/academicAdminApi.js; src/modules/academic-routes/services/academicService.js; src/modules/bitacora/api/bitacoraSupabase.js; src/modules/planning/services/historialService.js; src/portal-maestros/views/gamificacionView.js,src/modules/academic-routes/services/__tests__/academicService.test.js; src/modules/planificacion/api/__tests__/weeklyPlanSupabase.guiaHeredada.test.js,Feature de gobernanza curricular detenida a mitad de rollout; servicios cableados pero tabla con 0 filas.,,Terminar,ACM
acm_curriculum_sources,académico,15,2,1,2,0,20260629_acm_curriculum_governance.sql,CABLEADA-SIN-DATOS,alta,src/modules/academic-admin/api/academicAdminApi.js,src/modules/academic-admin/api/academicAdminApi.js,,Feature de gobernanza curricular detenida a mitad de rollout; servicios cableados pero tabla con 0 filas.,,Terminar,ACM
acm_curriculum_versions,académico,11,3,2,2,0,20260629_acm_curriculum_governance.sql,HUÉRFANA,alta,20260629_acm_curriculum_governance.sql,,,"Sin referencias en código ni DB; referenciada por FK entrante: acm_weekly_plans.curriculum_version_id, acm_curriculum_sources.related_version_id.",,Terminar,ACM
acm_evidence_files,académico,10,5,0,1,0,20260629_acm_curriculum_governance.sql,HUÉRFANA,alta,20260629_acm_curriculum_governance.sql,,,"Sin ninguna referencia en código, vistas ni funciones de BD.",,Terminar,ACM
acm_teacher_week_adjustments,académico,12,3,0,1,0,20260629_acm_teacher_week_adjustments.sql,CABLEADA-SIN-DATOS,alta,src/modules/academic-routes/services/academicService.js,src/modules/academic-routes/services/academicService.js; src/modules/planificacion/api/weeklyPlanSupabase.js,src/modules/academic-routes/services/__tests__/academicService.test.js,Feature de gobernanza curricular detenida a mitad de rollout; servicios cableados pero tabla con 0 filas.,,Terminar,ACM
acm_weekly_plan_items,académico,17,2,0,2,0,20260629_acm_curriculum_governance.sql,CABLEADA-SIN-DATOS,alta,src/modules/academic-routes/services/academicService.js,src/modules/academic-routes/services/academicService.js; src/modules/bitacora/api/bitacoraSupabase.js; src/modules/planning/services/historialService.js; src/portal-maestros/views/gamificacionView.js,src/modules/academic-routes/services/__tests__/academicService.test.js,Feature de gobernanza curricular detenida a mitad de rollout; servicios cableados pero tabla con 0 filas.,,Terminar,ACM
acm_weekly_plans,académico,16,2,4,2,0,20260629_acm_curriculum_governance.sql,CABLEADA-SIN-DATOS,alta,src/modules/academic-admin/api/academicAdminApi.js,src/modules/academic-admin/api/academicAdminApi.js,src/modules/planificacion/api/weeklyPlanMock.js; src/modules/planificacion/api/__tests__/weeklyPlanSupabase.guiaHeredada.test.js,Feature de gobernanza curricular detenida a mitad de rollout; servicios cableados pero tabla con 0 filas.,,Terminar,ACM
alertas_log,operaciones/reportes,6,0,0,1,0,,CABLEADA-SIN-DATOS,alta,fn_registrar_alerta_enviada,,,Referenciada en función de BD fn_registrar_alerta_enviada; sin llamadas directas desde UI.,,Terminar,DIR
alumno_escolaridad,alumno/admisiones,14,1,0,1,0,20260607_documentos_institucionales.sql,CABLEADA-SIN-DATOS,alta,src/modules/config/services/studentDocumentDataService.js,src/modules/config/services/studentDocumentDataService.js,,Generador de documentos institucionales por lote implementado pero nunca ejecutado en producción.,,Archivar,DIR/ADM
alumno_plan_entradas,alumno/admisiones,10,4,0,4,0,20260527_create_alumno_plan_entradas.sql,CABLEADA-SIN-DATOS,alta,src/portal-maestros/api/planEstudiosApi.js,src/portal-maestros/api/planEstudiosApi.js,src/portal-maestros/api/__tests__/planEstudiosApi.test.js,"Servicio implementado para planificación pedagógica / casos, pero la feature no se ha puesto en uso.",,Terminar,ACM
