table,capability,cols,fk_out,fk_in,policies,triggers,create_migration,code_usage,real_refs,db_comment,decision,owner
academic_plans,ninguna identificada,8,2,1,3,0,"006_academic_route_schema.sql","referenciada: modules/academic-routes/services/academicService.js, portal-maestros/services/classEventService.js",3,"",,
accesorio_asignaciones,inventario/lutería,11,3,0,3,0,"","solo autogen",0,"",,
accesorios,inventario/lutería,11,0,1,3,1,"","referenciada: modules/luteria-taller/api/luteriaTallerMock.js",1,"",,
acm_active_routes,académico,16,4,1,1,0,"20260629_acm_curriculum_governance.sql","referenciada: modules/academic-admin/api/academicAdminApi.js, modules/academic-routes/services/academicService.js",3,"",,
acm_curriculum_sources,académico,15,2,1,2,0,"20260629_acm_curriculum_governance.sql","referenciada: modules/academic-admin/api/academicAdminApi.js",1,"",,
acm_curriculum_versions,académico,11,3,2,2,0,"20260629_acm_curriculum_governance.sql","solo autogen",0,"",,
acm_evidence_files,académico,10,5,0,1,0,"20260629_acm_curriculum_governance.sql","solo autogen",0,"",,
acm_teacher_week_adjustments,académico,12,3,0,1,0,"20260629_acm_teacher_week_adjustments.sql","referenciada: modules/academic-routes/services/academicService.js, modules/planificacion/api/weeklyPlanSupabase.js",2,"",,
acm_weekly_plan_items,académico,17,2,0,2,0,"20260629_acm_curriculum_governance.sql","referenciada: modules/academic-routes/services/academicService.js, modules/bitacora/api/bitacoraSupabase.js",3,"",,
acm_weekly_plans,académico,16,2,4,2,0,"20260629_acm_curriculum_governance.sql","referenciada: modules/academic-admin/api/academicAdminApi.js",1,"",,
alertas_log,operaciones/reportes,6,0,0,1,0,"","solo autogen",0,"",,
alumno_escolaridad,alumno/admisiones,14,1,0,1,0,"20260607_documentos_institucionales.sql","referenciada: modules/config/services/studentDocumentDataService.js",1,"",,
alumno_plan_entradas,alumno/admisiones,10,4,0,4,0,"20260527_create_alumno_plan_entradas.sql","referenciada: portal-maestros/api/planEstudiosApi.js",1,"",,
alumno_suspensiones,protección/seguimiento,11,3,0,2,1,"20260904120000_seguimiento_ausentes_reinicio_y_suspension.sql","referenciada: modules/pedagogico/services/seguimientoAusentesService.js",1,"",,
alumnos_ejercicios,protección/seguimiento,11,2,0,2,1,"schema_reference.sql (sin fecha)","solo autogen",0,"",,
alumnos_logros,protección/seguimiento,3,2,0,2,0,"schema_reference.sql (sin fecha)","solo autogen",0,"",,
alumnos_modulos,alumno/admisiones,10,2,0,2,1,"schema_reference.sql (sin fecha)","solo autogen",0,"",,
alumnos_reinscripciones,alumno/admisiones,9,2,0,1,0,"","sin referencia",0,"",,
alumnos_rutas,académico,12,3,0,2,1,"schema_reference.sql (sin fecha)","solo autogen",0,"",,
applicant_events,alumno/admisiones,5,1,0,3,0,"20260827200000_soi_enrollment_funnel_m1.sql","referenciada: scripts/google-apps-script-enrollment.js, supabase/functions/enrollment-scheduler/index.ts",2,"",,
applicants,alumno/admisiones,9,0,2,3,1,"20260827200000_soi_enrollment_funnel_m1.sql","referenciada: scripts/google-apps-script-enrollment.js, supabase/functions/enrollment-scheduler/index.ts",2,"",,
appointments,alumno/admisiones,8,1,0,4,1,"20260827200000_soi_enrollment_funnel_m1.sql","referenciada: supabase/functions/enrollment-scheduler/index.ts",1,"",,
asistencia_maestros,protección/seguimiento,15,7,0,2,1,"20260726_asistencia_docente_y_rls_periodos.sql","solo autogen",0,"Presencia del docente por sesion de clase. Complementa ausencias_maestros.",,
asistencias_emergentes,protección/seguimiento,10,1,0,3,0,"20260606_emergentes_columns_and_asistencias.sql","solo autogen",0,"",,
audiciones,alumno/admisiones,22,1,0,2,0,"20260714203000_acm_rubrica_evaluacion.sql","referenciada: scripts/patch-main-portal-hub.js, core/moduleCatalog.js",3,"Evaluaciones de audiciones de nivel y diagnóstico segun canon ACM-RUB-001 V8.",,
ausencias,protección/seguimiento,10,0,1,4,1,"schema_reference.sql (sin fecha)","referenciada: modules/auth/components/ausenciaForm.js, modules/auth/components/ausenciaHistorial.js",3,"",,
ausencias_auditoria,protección/seguimiento,6,2,0,2,0,"20260520_create_ausencias_auditoria.sql","referenciada: modules/admin-aprobacion/api/ausenciaAprobacionApi.js, modules/metricas/api/observabilidadSupabase.js",3,"",,
ausencias_clases_afectadas,protección/seguimiento,5,2,0,3,0,"","solo autogen",0,"Junction: clases afectadas por una ausencia y actividades de reemplazo.",,
ausencias_notificaciones,protección/seguimiento,8,2,0,3,0,"","solo autogen",0,"Notificaciones a directores sobre solicitudes de ausencia.",,
autorizaciones_accesorio,inventario/lutería,7,2,0,2,0,"","solo autogen",0,"",,
calendario,académico/operaciones,16,3,1,4,0,"","referenciada: core/moduleCatalog.js, modules/clases/views/clasesView.js",3,"",,
campana_participaciones,ninguna identificada,6,2,0,3,0,"","solo autogen",0,"",,
campanas_pago,finanzas,9,1,1,2,0,"","solo autogen",0,"",,
campania_envios,alianzas/comunicaciones,12,1,1,1,0,"20260626_campanias_periodo_segmentacion.sql","solo autogen",0,"",,
campanias_destinatarios,alianzas/comunicaciones,9,2,0,4,0,"20260626_campanias_marketing.sql","solo autogen",0,"",,
campanias_marketing,alianzas/comunicaciones,15,1,1,4,1,"20260626_campanias_marketing.sql","solo autogen",0,"",,
campanias_periodo,alianzas/comunicaciones,12,1,2,1,0,"20260626_campanias_periodo_segmentacion.sql","referenciada: modules/campanias/api/campaniasApi.js",1,"",,
catalogo_objetivos_especificos,académico,7,1,1,2,1,"","solo autogen",0,"",,
cierres_caja,finanzas,9,1,0,3,0,"","referenciada: portales/fin/src/lib/supabaseManager.ts",1,"",,
clase_acceso_temporal,académico/operaciones,7,1,0,5,0,"portal-maestros-tables.sql (sin fecha)","solo autogen",0,"",,
clase_mapa_indicadores,académico,12,3,1,1,3,"","solo autogen",0,"",,
clase_mapa_objetivos,académico,14,4,1,1,2,"","solo autogen",0,"",,
clases_emergentes,académico/operaciones,16,0,1,5,0,"portal-maestros-tables.sql (sin fecha)","referenciada: portal-maestros/services/maestroDataService.js, portal-maestros/views/calendarioView.js",3,"",,
class_event_methodology,académico,14,2,0,5,0,"20260507_class_events_schema.sql","referenciada: portal-maestros/services/classEventService.js",1,"Notas de metodologia estructurada por evento de clase.",,
class_events,académico,10,5,2,5,1,"20260507_class_events_schema.sql","referenciada: portal-maestros/services/classEventService.js",1,"Registro explicito de evento de clase por sesion+alumno.",,
class_session_content_snapshots,académico,8,0,0,3,0,"006_academic_route_schema.sql","referenciada: modules/academic-routes/services/academicService.js, portal-maestros/views/asistenciaView.js",2,"",,
cobertura_alumno_objetivo,académico,9,4,0,3,0,"20260523_curriculos.sql","referenciada: modules/planificacion/api/coberturaSupabase.js, modules/planificacion/api/rutasApi.js",2,"",,
compromisos_pago,finanzas,9,2,0,2,0,"","referenciada: portales/fin/src/lib/supabaseManager.ts",1,"",,
contenidos_sesion,académico,9,5,0,7,0,"schema_reference.sql (sin fecha)","referenciada: modules/admin-dashboard/api/contenidoAnalyticsApi.js, modules/asistencias/api/asistenciasSupabase.js",2,"",,
document_batches,operaciones/reportes,17,0,1,1,0,"20260607_documentos_institucionales.sql","referenciada: modules/config/services/documentBatchService.js",1,"",,
evaluations,alumno/admisiones,19,1,0,4,1,"20260622_audiciones_integration_fixes.sql","referenciada: modules/audiciones/api/audicionesSupabase.js, modules/audiciones/domain/EvaluacionMapper.js",2,"",,
exoneraciones,finanzas,12,3,0,2,0,"","solo autogen",0,"",,
facturas_reparacion,finanzas,13,2,0,4,0,"","referenciada: modules/inventario/api/inventarioSupabase.js",1,"Facturas asociadas a reparaciones de instrumentos.",,
fin_service_balance_snapshots,finanzas,11,2,0,0,0,"20260823000000_fin_service_balances.sql","referenciada: supabase/functions/refresh-service-balances/index.ts",1,"Historico de balances por cuenta. Solo service_role.",,
fin_service_refresh_runs,finanzas,9,1,2,0,0,"20260823000000_fin_service_balances.sql","referenciada: supabase/functions/refresh-service-balances/index.ts",1,"Auditoria de cada intento de refresh. Solo service_role.",,
fin_service_refresh_state,finanzas,8,2,0,0,0,"20260823000000_fin_service_balances.sql","referenciada: supabase/functions/refresh-service-balances/index.ts",1,"Lock + ultima consulta por cuenta. Solo service_role.",,
gastos_fijos_pagos,finanzas,11,1,0,3,0,"20260823220000_gastos_fijos_mensuales.sql","referenciada: portales/fin/src/context/FinanceContext.tsx, portales/fin/src/lib/supabaseManager.ts",2,"",,
generated_documents,operaciones/reportes,18,3,0,1,0,"20260607_documentos_institucionales.sql","referenciada: modules/config/services/documentBatchService.js, modules/config/views/generatedDocumentsView.js",3,"",,
hermes_acciones,gateway/hermes,9,1,2,1,0,"","solo autogen",0,"",,
hermes_evaluaciones,gateway/hermes,5,0,0,1,0,"","solo autogen",0,"",,
hermes_feedback,gateway/hermes,11,2,0,1,0,"","solo autogen",0,"",,
hermes_notificaciones,gateway/hermes,9,1,0,1,0,"","solo autogen",0,"",,
hilos_mensajes,alianzas/comunicaciones,8,1,1,3,0,"","solo autogen",0,"",,
homework_assignments,académico,9,4,0,5,0,"20260507_class_events_schema.sql","referenciada: portal-maestros/components/HomeworkPanel.js, portal-maestros/services/classEventService.js",2,"Tareas formales con link opcional a nodo y fecha limite.",,
horarios,académico/operaciones,10,3,1,5,1,"schema_reference.sql (sin fecha)","referenciada: assets/data/mocks/clases.json, portal-maestros/api/ausenciasApi.js",3,"",,
indicator_session_students,académico,6,2,0,2,0,"20260604000002_indicator_session_students.sql","referenciada: modules/planning/services/planningService.js",1,"",,
indicator_sessions,académico,8,3,1,3,0,"20260604000001_indicator_sessions.sql","referenciada: modules/bitacora/api/bitacoraSupabase.js, modules/planning/services/historialService.js",3,"",,
instituciones,alianzas/comunicaciones,16,0,1,4,1,"20260626_campanias_marketing.sql","solo autogen",0,"",,
intentos_ejercicios,protección/seguimiento,13,5,0,2,0,"schema_reference.sql (sin fecha)","solo autogen",0,"",,
inventario_import_staging,inventario/lutería,33,0,0,0,0,"","solo autogen",0,"Tabla temporal para importar inventario_supabase_import.csv.",,
