"Fecha","Archivo","Directorio","Linea","TextoOriginal","TextoCorregido","Modo"
"2026-08-08 22:36:35","academicAdminApi.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\pedantic-dubinsky-7693d8\src\modules\academic-admin\api","46","Ã©","é","APLICADO"
"2026-08-08 22:36:35","academicAdminApi.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\pedantic-dubinsky-7693d8\src\modules\academic-admin\api","60","Ã­","í","APLICADO"
"2026-08-08 22:36:35","academicAdminApi.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\pedantic-dubinsky-7693d8\src\modules\academic-admin\api","78","Ã¡","á","APLICADO"
"2026-08-08 22:36:36","academicAdminApi.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\pedantic-dubinsky-7693d8\src\modules\academic-admin\api","78","Ã¡","á","APLICADO"
"2026-08-08 22:36:36","academicAdminApi.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\pedantic-dubinsky-7693d8\src\modules\academic-admin\api","78","Ã³","ó","APLICADO"
"2026-08-08 22:36:36","academicAdminApi.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\pedantic-dubinsky-7693d8\src\modules\academic-admin\api","147","Ã¡","á","APLICADO"
"2026-08-08 22:36:36","academicAdminApi.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\pedantic-dubinsky-7693d8\src\modules\academic-admin\api","147","Ã©","é","APLICADO"
"2026-08-08 22:36:36","academicAdminApi.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\pedantic-dubinsky-7693d8\src\modules\academic-admin\api","228","Ã³","ó","APLICADO"
"2026-08-08 22:38:42","academicAdminApi.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\jovial-yalow-2b5b58\src\modules\academic-admin\api","46","Ã©","é","APLICADO"
"2026-08-08 22:38:42","academicAdminApi.js","C:\Users\omare\OneDrive\Documentos\SOI_Sistema_Operativo_Institucional\09_SOI_WEB_PORTAL\sistema-academico-pwa\.claude\worktrees\jovial-yalow-2b5b58\src\modules\academic-admin\api","60","Ã­","í","APLICADO"
